rei_question,scale,scoring
I’m not that good at figuring out complicated problems,rational_ability,-
I am not very good at solving problems that require careful logical analysis,rational_ability,-
I am not a very analytical thinker,rational_ability,-
Reasoning things out carefully is not one of my strong points,rational_ability,-
I don’t reason well under pressure,rational_ability,-
I am much better at figuring things out logically than most people,rational_ability,+
I have a logical mind,rational_ability,+
I have no problem thinking things through carefully,rational_ability,+
Using logic usually works well for me in figuring out problems in my life,rational_ability,+
"I usually have clear, explainable reasons for my decisions",rational_ability,+
I try to avoid situations that require thinking in depth about something,rational_engagement,-
I enjoy intellectual challenges,rational_engagement,+
I don’t like to have to do a lot of thinking,rational_engagement,-
I enjoy solving problems that require hard thinking,rational_engagement,+
Thinking is not my idea of an enjoyable activity,rational_engagement,-
I prefer complex problems to simple problems,rational_engagement,+
Thinking hard and for a long time about something gives me little satisfaction,rational_engagement,-
I enjoy thinking in abstract terms,rational_engagement,+
Knowing the answer without having to understand the reasoning behind it is good enough for me,rational_engagement,-
Learning new ways to think would be very appealing to me,experiential_ability,+
I don’t have a very good sense of intuition,experiential_ability,-
Using my gut feelings usually works well for me in figuring out problems in my life.,experiential_ability,+
I believe in trusting my hunches,experiential_ability,+
I trust my initial feelings about people,experiential_ability,+
"When it comes to trusting people, I can usually rely on my gut feelings",experiential_ability,+
"If I were to rely on my gut feelings, I would often make mistakes",experiential_ability,-
I hardly ever go wrong when I listen to my deepest gut feelings to find an answer,experiential_ability,+
My snap judgments are probably not as good as most people’s,experiential_ability,-
"I can usually feel when a person is right or wrong, even if I can’t explain how I know",experiential_ability,+
I suspect my hunches are inaccurate as often as they are accurate,experiential_engagement,-
I like to rely on my intuitive impressions,experiential_engagement,+
Intuition can be a very useful way to solve problems,experiential_engagement,+
I often go by my instincts when deciding on a course of action,experiential_engagement,+
I don’t like situations in which I have to rely on intuition,experiential_engagement,-
I think there are times when one should rely on one’s intuition,experiential_engagement,+
I think it is foolish to make important decisions based on feelings,experiential_engagement,-
I don’t think it is a good idea to rely on one’s intuition for important decisions,experiential_engagement,-
I generally don’t depend on my feelings to help me make decisions,experiential_engagement,-
I  would  not  want  to  depend  on  anyone  who  described  himself  or  herself  as  intuitive,experiential_engagement,-
I tend to use my heart as a guide for my actions,experiential_engagement,+
,,
,,
,,
